sensor_read,model_index,expected,predicted
[738049. 588593. 960863. 506472. 126079. 500932.],0,0.0,0.0
[13937933.  2909723. 25856553.  7972267.  6436536.  8434502.],0,1.0,0.0
[363314. 730633. 877857. 443628. 271732. 841747.],0,0.0,0.0
[125153.  23209. 594375. 238075. 931391.  69525.],0,0.0,0.0
[748139. 616315. 133077. 952121. 636600. 276122.],0,0.0,0.0
[ 4811304.  8822857.  1614457. 26655471. 20672185. 26021626.],0,1.0,0.0
[ 29813.  45017. 335353. 171569. 726805.  34046.],0,0.0,0.0
[473135. 856396. 284566. 985950. 772553. 542827.],0,0.0,0.0
[738138. 342273. 330816. 295207. 688016. 255721.],0,0.0,0.0
[15769945.  5406715. 25324218.  2442333.  3519589.  6532839.],0,1.0,0.0
[ 34288. 680309. 663310. 277828. 706482. 255613.],0,0.0,0.0
[731624. 796893. 267064. 917982. 166594. 157480.],0,0.0,0.0
[ 55273.  59762. 623102. 695116. 741224. 755324.],0,0.0,0.0
[11161462. 21416040.  2803906. 13355437. 15726664. 23689831.],0,1.0,0.0
[693822. 549108. 763029. 165094. 766911. 753792.],0,0.0,0.0
[514932. 849206. 401698.  55870. 863920. 274085.],0,0.0,0.0
[15598614. 16835211. 12519040. 21001518. 10170292.  8981823.],0,1.0,0.0
[19248733. 23402990. 26523188. 11440493. 15720266. 23635907.],0,1.0,0.0
[153114. 314640. 735824. 621473. 198335. 142834.],0,0.0,0.0
[26653873.  9715491. 16589914.  5869928. 13494574.  7141752.],0,1.0,0.0
[607385. 286278. 333108. 810918. 955312. 488302.],0,0.0,0.0
[26671853. 17065319. 15084982. 26479264.  7242311. 12118080.],0,1.0,0.0
[369033. 797480. 810280. 277951. 521808. 978790.],0,0.0,0.0
[ 9940546. 26780335. 19414225.  4468248. 20088041.  8013348.],0,1.0,0.0
[705693. 433833.  10880. 343321. 510609. 400575.],0,0.0,0.0
[19990864.  8918477.  1725923.  4423285. 22338821. 19080637.],0,1.0,0.0
[ 2529945.  8736149. 27156388. 11895343. 10864517. 21747609.],0,1.0,0.0
[740278. 797968. 623280. 815479.  12599. 769751.],0,0.0,0.0
[27868645. 22769971. 12475785. 27875922. 18290578.  8863097.],0,1.0,0.0
