sensor_read,model_index,expected,predicted
[738049. 588593. 960863. 506472. 126079. 500932.],0,0.0,1.0
[13937933.  2909723. 25856553.  7972267.  6436536.  8434502.],0,1.0,1.0
[363314. 730633. 877857. 443628. 271732. 841747.],0,0.0,1.0
[125153.  23209. 594375. 238075. 931391.  69525.],0,0.0,1.0
[748139. 616315. 133077. 952121. 636600. 276122.],0,0.0,1.0
[ 4811304.  8822857.  1614457. 26655471. 20672185. 26021626.],0,1.0,1.0
[ 29813.  45017. 335353. 171569. 726805.  34046.],0,0.0,1.0
[473135. 856396. 284566. 985950. 772553. 542827.],0,0.0,1.0
[738138. 342273. 330816. 295207. 688016. 255721.],0,0.0,1.0
[15769945.  5406715. 25324218.  2442333.  3519589.  6532839.],0,1.0,1.0
[ 34288. 680309. 663310. 277828. 706482. 255613.],0,0.0,1.0
[731624. 796893. 267064. 917982. 166594. 157480.],0,0.0,1.0
[ 55273.  59762. 623102. 695116. 741224. 755324.],0,0.0,1.0
[11161462. 21416040.  2803906. 13355437. 15726664. 23689831.],0,1.0,1.0
[693822. 549108. 763029. 165094. 766911. 753792.],0,0.0,1.0
[514932. 849206. 401698.  55870. 863920. 274085.],0,0.0,1.0
[15598614. 16835211. 12519040. 21001518. 10170292.  8981823.],0,1.0,1.0
[19248733. 23402990. 26523188. 11440493. 15720266. 23635907.],0,1.0,1.0
[153114. 314640. 735824. 621473. 198335. 142834.],0,0.0,1.0
[26653873.  9715491. 16589914.  5869928. 13494574.  7141752.],0,1.0,1.0
[607385. 286278. 333108. 810918. 955312. 488302.],0,0.0,1.0
[26671853. 17065319. 15084982. 26479264.  7242311. 12118080.],0,1.0,1.0
[369033. 797480. 810280. 277951. 521808. 978790.],0,0.0,1.0
[ 9940546. 26780335. 19414225.  4468248. 20088041.  8013348.],0,1.0,1.0
[705693. 433833.  10880. 343321. 510609. 400575.],0,0.0,1.0
[19990864.  8918477.  1725923.  4423285. 22338821. 19080637.],0,1.0,1.0
[ 2529945.  8736149. 27156388. 11895343. 10864517. 21747609.],0,1.0,1.0
[740278. 797968. 623280. 815479.  12599. 769751.],0,0.0,1.0
[27868645. 22769971. 12475785. 27875922. 18290578.  8863097.],0,1.0,1.0
[24613667.  8143112. 25613432.  8720264.  7309072. 20819802.],0,1.0,1.0
[526648. 486070. 329092. 465158. 244956. 377026.],0,0.0,1.0
[ 27684. 491393. 818601. 958102. 926395. 805366.],0,0.0,1.0
[194079. 296820. 376571. 121681. 794557. 413968.],0,0.0,1.0
[18387290. 21784149. 12816455. 24560292. 14975465.  9955351.],0,1.0,1.0
[ 7023682.  7052203.  4778126.  7782428. 24047148. 23293531.],0,1.0,1.0
[673295. 414067. 516420. 983211. 290519. 655419.],0,0.0,1.0
[498065.   7442. 222995. 212496. 147219. 992902.],0,0.0,1.0
[187246. 150835. 425677. 539695. 821225. 620850.],0,0.0,1.0
[557401. 401016. 426728. 892300. 157938. 350211.],0,0.0,1.0
[321193. 153840. 209435.  31229.  68767. 345032.],0,0.0,1.0
[11118170. 26538709.  8671533. 14089806. 10286923. 21084519.],0,1.0,1.0
[418451. 182146. 529295. 145174. 885818. 755219.],0,0.0,1.0
[26353305.  3541635. 21222568. 14697450. 27463032.  2786117.],0,1.0,1.0
[250148. 623163. 523898. 642590.  71208. 888700.],0,0.0,1.0
[14074732.  2440453. 21363967.  2561845. 14011927.  7210798.],0,1.0,1.0
[ 9837529.  6602185. 12240810.  2414550.  9528295.  6001160.],0,1.0,1.0
[17631317. 15454814. 19454966.  2641181. 16277689.  4361391.],0,1.0,1.0
[16491818. 19610290. 15868292.  5364931.  5491907. 27090146.],0,1.0,1.0
[982117.  10856. 180601. 759601. 272353. 232796.],0,0.0,1.0
[22716755.  3366098. 12035607. 11423852.  4367177. 12155430.],0,1.0,1.0
[650759. 834572. 863957. 398575. 727005. 851654.],0,0.0,1.0
[16912901. 18832852. 17407929. 14214478. 24793899. 19951143.],0,1.0,1.0
[ 6140201.  3429888.  8659017. 14837104.  7503349. 11449813.],0,1.0,1.0
[511169.  63323.  12894. 159974.  26212. 999064.],0,0.0,1.0
[309799. 981009. 115206.  21481. 257969. 849792.],0,0.0,1.0
[23165183. 24511858. 19400535.  1732606. 13102489.  6676118.],0,1.0,1.0
[924166. 539238. 221917.  36348. 494081. 278810.],0,0.0,1.0
[786362. 932695. 872272. 440411. 817197. 526232.],0,0.0,1.0
[160391. 965854. 647476. 995268. 229016. 921439.],0,0.0,1.0
[813185. 973572. 880474. 302021. 564915. 412864.],0,0.0,1.0
[27045017. 17383859. 17684966. 27512611.  5758562. 16353733.],0,1.0,1.0
[ 8058326. 14744931. 14730447. 10823521.  2714522. 16862446.],0,1.0,1.0
[17908242. 27469166.  9345152. 20217049. 24062243. 16535979.],0,1.0,1.0
[ 9678444. 15089323.  7261705.  9643797. 25639321. 14497197.],0,1.0,1.0
[19141820. 11363621. 17176154. 17995604. 13844005. 27765462.],0,1.0,1.0
[112355. 416539. 379312. 300752. 307643. 214183.],0,0.0,1.0
[20151522. 26408741. 25821372. 20873942. 14098352. 10176669.],0,1.0,1.0
[249970. 354352. 115129. 102186. 795725. 545453.],0,0.0,1.0
[ 6953022. 27083207. 20447371.  8962225.  8160240. 13393890.],0,1.0,1.0
[430795. 640548. 728019. 806343. 866797. 926411.],0,0.0,1.0
[887694. 562934. 648758. 491859. 883111. 876051.],0,0.0,1.0
[14106196. 11422995. 17732710.  3474949. 21411017.  3601716.],0,1.0,1.0
[18288462. 10559751. 24162280. 26566943. 21053105.  5738225.],0,1.0,1.0
[ 70679. 904606. 808638. 380598. 679672. 877732.],0,0.0,1.0
[15218224. 17667356.  1322576. 18301672. 18824289. 17338820.],0,1.0,1.0
[27951246.  1321475. 17468841.  7856595.  7916554. 18278360.],0,1.0,1.0
[752780. 562055. 799198. 415045. 658899. 975090.],0,0.0,1.0
[ 43720. 156626. 721983. 542303. 247398. 548426.],0,0.0,1.0
[13007047. 21841701. 17326971.  6870690. 23784148. 21625009.],0,1.0,1.0
[26099210.  1853673. 14071040. 18998383. 16068284.  7339812.],0,1.0,1.0
[474224. 946602. 426089. 775398. 830776. 538312.],0,0.0,1.0
[807003. 780597. 505685. 556469. 286164. 872149.],0,0.0,1.0
[517514. 404232. 860467. 155488. 604789. 736601.],0,0.0,1.0
[585154. 617216.  41229. 401237. 595953. 587567.],0,0.0,1.0
[596866. 229859.  79180. 658731. 263497. 733092.],0,0.0,1.0
[19152864. 10878971. 20821457. 24393805. 21230607. 19683715.],0,1.0,1.0
[15933854. 21620314.  9575677.  2042489. 13254640. 26174967.],0,1.0,1.0
[16889423.  6335149.  7715616.  3425712. 18011382. 15456794.],0,1.0,1.0
[328312. 280815. 731696. 476159. 806640. 284362.],0,0.0,1.0
[265008. 855490. 834777. 276774. 216541. 709308.],0,0.0,1.0
[623013. 325468.  72770. 491813. 786936. 422970.],0,0.0,1.0
[ 3743361.  4109683. 11701862. 20979351. 21170974. 23258714.],0,1.0,1.0
[522350. 688322. 914487. 132964. 211221. 527076.],0,0.0,1.0
[27430364. 16228970. 13514918. 20614339. 24348823. 16555643.],0,1.0,1.0
[ 1168562.  6556058.  2258478. 22840075.  8420073. 13130118.],0,1.0,1.0
