model_name,c_matrix,precision,recall,f1,support
XGBRegressor_model_0,"[[213   0]
 [  0 219]]",1.0,1.0,1.0,219.0
XGBRegressor_model_1,"[[227   0]
 [  0 205]]",1.0,1.0,1.0,205.0
XGBRegressor_model_2,"[[231   0]
 [  0 201]]",1.0,1.0,1.0,201.0
XGBRegressor_model_3,"[[200   0]
 [  0 232]]",1.0,1.0,1.0,232.0
XGBRegressor_model_4,"[[229   0]
 [  1 202]]",1.0,0.9950738916256158,0.9975308641975309,203.0
XGBRegressor_model_5,"[[209   0]
 [  0 223]]",1.0,1.0,1.0,223.0
XGBRegressor_model_6,"[[221   0]
 [  0 211]]",1.0,1.0,1.0,211.0
XGBRegressor_model_7,"[[224   0]
 [  0 208]]",1.0,1.0,1.0,208.0
XGBRegressor_model_8,"[[192   0]
 [  0 240]]",1.0,1.0,1.0,240.0
XGBRegressor_model_9,"[[214   0]
 [  0 218]]",1.0,1.0,1.0,218.0
LogisticRegression_model_0,"[[  0 214]
 [  0 218]]",0.5046296296296297,1.0,0.6707692307692308,218.0
LogisticRegression_model_1,"[[  0 192]
 [  0 240]]",0.5555555555555556,1.0,0.7142857142857143,240.0
LogisticRegression_model_2,"[[  0 208]
 [  0 224]]",0.5185185185185185,1.0,0.6829268292682926,224.0
LogisticRegression_model_3,"[[  0 211]
 [  0 221]]",0.5115740740740741,1.0,0.6768759571209801,221.0
LogisticRegression_model_4,"[[  0 218]
 [  0 214]]",0.49537037037037035,1.0,0.6625386996904025,214.0
LogisticRegression_model_5,"[[  0 233]
 [  0 199]]",0.46064814814814814,1.0,0.6307448494453248,199.0
LogisticRegression_model_6,"[[  0 214]
 [  0 218]]",0.5046296296296297,1.0,0.6707692307692308,218.0
LogisticRegression_model_7,"[[  0 225]
 [  0 207]]",0.4791666666666667,1.0,0.647887323943662,207.0
LogisticRegression_model_8,"[[  0 229]
 [  0 203]]",0.4699074074074074,1.0,0.6393700787401574,203.0
LogisticRegression_model_9,"[[  0 216]
 [  0 216]]",0.5,1.0,0.6666666666666666,216.0
RidgeClassifier_model_0,"[[214   0]
 [  2 216]]",1.0,0.9908256880733946,0.9953917050691244,218.0
RidgeClassifier_model_1,"[[192   0]
 [  2 238]]",1.0,0.9916666666666667,0.99581589958159,240.0
RidgeClassifier_model_2,"[[208   0]
 [  3 221]]",1.0,0.9866071428571429,0.9932584269662922,224.0
RidgeClassifier_model_3,"[[211   0]
 [  2 219]]",1.0,0.9909502262443439,0.9954545454545455,221.0
RidgeClassifier_model_4,"[[218   0]
 [  4 210]]",1.0,0.9813084112149533,0.9905660377358491,214.0
RidgeClassifier_model_5,"[[233   0]
 [  5 194]]",1.0,0.9748743718592965,0.9872773536895675,199.0
RidgeClassifier_model_6,"[[214   0]
 [  3 215]]",1.0,0.9862385321100917,0.9930715935334873,218.0
RidgeClassifier_model_7,"[[225   0]
 [  2 205]]",1.0,0.9903381642512077,0.9951456310679612,207.0
RidgeClassifier_model_8,"[[229   0]
 [  0 203]]",1.0,1.0,1.0,203.0
RidgeClassifier_model_9,"[[216   0]
 [  1 215]]",1.0,0.9953703703703703,0.9976798143851509,216.0
SGDClassifier_model_0,"[[  4 210]
 [  1 217]]",0.5081967213114754,0.9954128440366973,0.6728682170542636,218.0
SGDClassifier_model_1,"[[  0 192]
 [  0 240]]",0.5555555555555556,1.0,0.7142857142857143,240.0
SGDClassifier_model_2,"[[  0 208]
 [  0 224]]",0.5185185185185185,1.0,0.6829268292682926,224.0
SGDClassifier_model_3,"[[  0 211]
 [  0 221]]",0.5115740740740741,1.0,0.6768759571209801,221.0
SGDClassifier_model_4,"[[  0 218]
 [  0 214]]",0.49537037037037035,1.0,0.6625386996904025,214.0
SGDClassifier_model_5,"[[  0 233]
 [  0 199]]",0.46064814814814814,1.0,0.6307448494453248,199.0
SGDClassifier_model_6,"[[  0 214]
 [  0 218]]",0.5046296296296297,1.0,0.6707692307692308,218.0
SGDClassifier_model_7,"[[  0 225]
 [  0 207]]",0.4791666666666667,1.0,0.647887323943662,207.0
SGDClassifier_model_8,"[[  0 229]
 [  0 203]]",0.4699074074074074,1.0,0.6393700787401574,203.0
SGDClassifier_model_9,"[[  0 216]
 [  0 216]]",0.5,1.0,0.6666666666666666,216.0
PassiveAggressiveClassifier_model_0,"[[212   2]
 [218   0]]",0.0,0.0,0.0,218.0
PassiveAggressiveClassifier_model_1,"[[192   0]
 [240   0]]",0.0,0.0,0.0,240.0
