model_name,c_matrix,precision,recall,f1,support
XGBRegressor_model_0,"[[209   0]
 [  3 220]]",1.0,0.9865470852017937,0.9932279909706546,223.0
XGBRegressor_model_1,"[[218   1]
 [  5 208]]",0.9952153110047847,0.9765258215962441,0.985781990521327,213.0
XGBRegressor_model_2,"[[202   0]
 [  4 226]]",1.0,0.9826086956521739,0.9912280701754386,230.0
XGBRegressor_model_3,"[[231   0]
 [  4 197]]",1.0,0.9800995024875622,0.9899497487437185,201.0
XGBRegressor_model_4,"[[202   0]
 [  2 228]]",1.0,0.991304347826087,0.9956331877729258,230.0
XGBRegressor_model_5,"[[229   0]
 [  6 197]]",1.0,0.9704433497536946,0.985,203.0
XGBRegressor_model_6,"[[200   0]
 [  5 227]]",1.0,0.978448275862069,0.9891067538126361,232.0
XGBRegressor_model_7,"[[233   1]
 [  4 194]]",0.9948717948717949,0.9797979797979798,0.9872773536895675,198.0
XGBRegressor_model_8,"[[212   0]
 [  1 219]]",1.0,0.9954545454545455,0.9977220956719818,220.0
XGBRegressor_model_9,"[[222   0]
 [  2 208]]",1.0,0.9904761904761905,0.9952153110047847,210.0
LogisticRegression_model_0,"[[136  93]
 [ 46 157]]",0.628,0.7733990147783252,0.6931567328918322,203.0
LogisticRegression_model_1,"[[110  99]
 [ 55 168]]",0.6292134831460674,0.7533632286995515,0.6857142857142857,223.0
LogisticRegression_model_2,"[[156  68]
 [ 44 164]]",0.7068965517241379,0.7884615384615384,0.7454545454545455,208.0
LogisticRegression_model_3,"[[143  85]
 [ 59 145]]",0.6304347826086957,0.7107843137254902,0.6682027649769585,204.0
LogisticRegression_model_4,"[[130  84]
 [ 52 166]]",0.664,0.7614678899082569,0.7094017094017094,218.0
LogisticRegression_model_5,"[[148  68]
 [ 48 168]]",0.711864406779661,0.7777777777777778,0.7433628318584071,216.0
LogisticRegression_model_6,"[[134  79]
 [ 41 178]]",0.6926070038910506,0.8127853881278538,0.7478991596638654,219.0
LogisticRegression_model_7,"[[131  85]
 [ 54 162]]",0.6558704453441295,0.75,0.6997840172786177,216.0
LogisticRegression_model_8,"[[131  86]
 [ 37 178]]",0.6742424242424242,0.827906976744186,0.7432150313152399,215.0
LogisticRegression_model_9,"[[118  76]
 [ 56 182]]",0.7054263565891473,0.7647058823529411,0.7338709677419355,238.0
RidgeClassifier_model_0,"[[136  93]
 [ 46 157]]",0.628,0.7733990147783252,0.6931567328918322,203.0
RidgeClassifier_model_1,"[[110  99]
 [ 55 168]]",0.6292134831460674,0.7533632286995515,0.6857142857142857,223.0
RidgeClassifier_model_2,"[[156  68]
 [ 43 165]]",0.7081545064377682,0.7932692307692307,0.7482993197278912,208.0
RidgeClassifier_model_3,"[[143  85]
 [ 59 145]]",0.6304347826086957,0.7107843137254902,0.6682027649769585,204.0
RidgeClassifier_model_4,"[[130  84]
 [ 52 166]]",0.664,0.7614678899082569,0.7094017094017094,218.0
RidgeClassifier_model_5,"[[148  68]
 [ 47 169]]",0.7130801687763713,0.7824074074074074,0.7461368653421633,216.0
