model_name,fpr,tpr,thresholds,roc_auc
XGBRegressor_model_0,[0. 0. 1.],[0.         0.98654709 1.        ],[2. 1. 0.],0.9932735426008968
XGBRegressor_model_1,[0.         0.00456621 1.        ],[0.         0.97652582 1.        ],[2. 1. 0.],0.985979805775291
XGBRegressor_model_2,[0. 0. 1.],[0.        0.9826087 1.       ],[2. 1. 0.],0.991304347826087
XGBRegressor_model_3,[0. 0. 1.],[0.        0.9800995 1.       ],[2. 1. 0.],0.9900497512437811
XGBRegressor_model_4,[0. 0. 1.],[0.         0.99130435 1.        ],[2. 1. 0.],0.9956521739130435
XGBRegressor_model_5,[0. 0. 1.],[0.         0.97044335 1.        ],[2. 1. 0.],0.9852216748768473
XGBRegressor_model_6,[0. 0. 1.],[0.         0.97844828 1.        ],[2. 1. 0.],0.9892241379310345
XGBRegressor_model_7,[0.        0.0042735 1.       ],[0.         0.97979798 1.        ],[2. 1. 0.],0.9877622377622377
XGBRegressor_model_8,[0. 0. 1.],[0.         0.99545455 1.        ],[2. 1. 0.],0.9977272727272728
XGBRegressor_model_9,[0. 0. 1.],[0.         0.99047619 1.        ],[2. 1. 0.],0.9952380952380953
LogisticRegression_model_0,[0.         0.40611354 1.        ],[0.         0.77339901 1.        ],[2. 1. 0.],0.6836427388302107
LogisticRegression_model_1,[0.         0.47368421 1.        ],[0.         0.75336323 1.        ],[2. 1. 0.],0.6398395090866179
LogisticRegression_model_2,[0.         0.30357143 1.        ],[0.         0.78846154 1.        ],[2. 1. 0.],0.7424450549450549
LogisticRegression_model_3,[0.         0.37280702 1.        ],[0.         0.71078431 1.        ],[2. 1. 0.],0.6689886480908154
LogisticRegression_model_4,[0.         0.39252336 1.        ],[0.         0.76146789 1.        ],[2. 1. 0.],0.6844722627111377
LogisticRegression_model_5,[0.         0.31481481 1.        ],[0.         0.77777778 1.        ],[2. 1. 0.],0.7314814814814814
LogisticRegression_model_6,[0.         0.37089202 1.        ],[0.         0.81278539 1.        ],[2. 1. 0.],0.7209466846742555
LogisticRegression_model_7,[0.         0.39351852 1.        ],[0.   0.75 1.  ],[2. 1. 0.],0.6782407407407407
LogisticRegression_model_8,[0.         0.39631336 1.        ],[0.         0.82790698 1.        ],[2. 1. 0.],0.7157968063444432
LogisticRegression_model_9,[0.         0.39175258 1.        ],[0.         0.76470588 1.        ],[2. 1. 0.],0.6864766525166769
RidgeClassifier_model_0,[0.         0.40611354 1.        ],[0.         0.77339901 1.        ],[2. 1. 0.],0.6836427388302107
RidgeClassifier_model_1,[0.         0.47368421 1.        ],[0.         0.75336323 1.        ],[2. 1. 0.],0.6398395090866179
RidgeClassifier_model_2,[0.         0.30357143 1.        ],[0.         0.79326923 1.        ],[2. 1. 0.],0.7448489010989011
RidgeClassifier_model_3,[0.         0.37280702 1.        ],[0.         0.71078431 1.        ],[2. 1. 0.],0.6689886480908154
RidgeClassifier_model_4,[0.         0.39252336 1.        ],[0.         0.76146789 1.        ],[2. 1. 0.],0.6844722627111377
RidgeClassifier_model_5,[0.         0.31481481 1.        ],[0.         0.78240741 1.        ],[2. 1. 0.],0.7337962962962963
RidgeClassifier_model_6,[0.         0.37558685 1.        ],[0.         0.81278539 1.        ],[2. 1. 0.],0.71859926683388
RidgeClassifier_model_7,[0.         0.39351852 1.        ],[0.         0.75462963 1.        ],[2. 1. 0.],0.6805555555555555
RidgeClassifier_model_8,[0.         0.40092166 1.        ],[0.        0.8372093 1.       ],[2. 1. 0.],0.7181438216697033
RidgeClassifier_model_9,[0.         0.39175258 1.        ],[0.         0.76890756 1.        ],[2. 1. 0.],0.6885774928528113
SGDClassifier_model_0,[0. 1.],[0. 1.],[1. 0.],0.5
SGDClassifier_model_1,[0. 1.],[0. 1.],[1. 0.],0.5
SGDClassifier_model_2,[0. 1.],[0. 1.],[2. 1.],0.5
SGDClassifier_model_3,[0.         0.24122807 1.        ],[0.         0.59803922 1.        ],[2. 1. 0.],0.678405572755418
SGDClassifier_model_4,[0.         0.13551402 1.        ],[0.         0.17889908 1.        ],[2. 1. 0.],0.5216925319386093
SGDClassifier_model_5,[0. 0. 1.],[0.         0.09259259 1.        ],[2. 1. 0.],0.5462962962962963
SGDClassifier_model_6,[0. 1.],[0. 1.],[2. 1.],0.5
SGDClassifier_model_7,[0. 1.],[0. 1.],[1. 0.],0.5
SGDClassifier_model_8,[0.         0.94470046 1.        ],[0.        0.9255814 1.       ],[2. 1. 0.],0.49044046725967205
SGDClassifier_model_9,[0.         0.07216495 1.        ],[0.        0.3907563 1.       ],[2. 1. 0.],0.6592956770337001
PassiveAggressiveClassifier_model_0,[0. 0. 1.],[0.         0.04926108 1.        ],[2. 1. 0.],0.5246305418719212
PassiveAggressiveClassifier_model_1,[0. 1.],[0. 1.],[2. 1.],0.5
PassiveAggressiveClassifier_model_2,[0. 1.],[0. 1.],[1. 0.],0.5
PassiveAggressiveClassifier_model_3,[0. 1.],[0. 1.],[2. 1.],0.5
PassiveAggressiveClassifier_model_4,[0. 1.],[0. 1.],[1. 0.],0.5
PassiveAggressiveClassifier_model_5,[0. 1.],[0. 1.],[1. 0.],0.5
