sensor_read,model_index,expected,predicted
[5. 4. 1. 2. 3. 3.],0,0.0,0.0013531742
[5. 3. 4. 2. 1. 1.],0,0.0,0.0011031912
[4. 1. 2. 5. 3. 3.],0,1.0,0.9988838
[4. 3. 5. 2. 1. 1.],0,0.0,0.00021149681
[5. 2. 4. 3. 1. 1.],0,1.0,0.9986981
[3. 2. 5. 1. 4. 4.],0,0.0,0.00014399819
[2. 1. 3. 4. 5. 5.],0,0.0,0.0011383812
[1. 5. 4. 2. 3. 3.],0,1.0,0.99963486
[5. 1. 3. 4. 2. 2.],0,1.0,0.9997155
[1. 5. 3. 4. 2. 2.],0,1.0,0.9996431
[4. 5. 1. 2. 3. 3.],0,0.0,0.000986112
[2. 4. 5. 1. 3. 3.],0,0.0,0.003456776
[3. 2. 4. 5. 1. 1.],0,0.0,0.00016582993
[3. 4. 5. 2. 1. 1.],0,0.0,0.00022067095
[1. 3. 4. 2. 5. 5.],0,0.0,0.00054500124
[4. 2. 1. 5. 3. 3.],0,0.0,0.0024782184
[3. 5. 1. 4. 2. 2.],0,0.0,0.0005551899
[4. 2. 5. 1. 3. 3.],0,0.0,0.0021838124
[2. 3. 4. 5. 1. 1.],0,0.0,0.00016525536
[5. 3. 2. 4. 1. 1.],0,0.0,0.000876109
[4. 1. 5. 2. 3. 3.],0,1.0,0.9988556
[1. 4. 5. 2. 3. 3.],0,1.0,0.99891114
[5. 1. 3. 2. 4. 4.],0,1.0,0.9996973
[3. 2. 1. 4. 5. 5.],0,0.0,0.00015353618
[2. 1. 4. 5. 3. 3.],0,0.0,0.0010082484
[1. 3. 5. 4. 2. 2.],0,0.0,0.000809386
[1. 5. 3. 4. 2. 2.],0,1.0,0.9996431
[5. 2. 4. 3. 1. 1.],0,1.0,0.9986981
[3. 5. 4. 2. 1. 1.],0,0.0,0.0006635639
[2. 5. 1. 3. 4. 4.],0,1.0,0.9982863
[2. 1. 3. 5. 4. 4.],0,0.0,0.0011383812
[2. 1. 5. 4. 3. 3.],0,0.0,0.0010082484
[3. 5. 1. 2. 4. 4.],0,0.0,0.0004757264
[2. 5. 3. 1. 4. 4.],0,1.0,0.9985726
[5. 2. 4. 3. 1. 1.],0,1.0,0.9986981
[5. 2. 3. 1. 4. 4.],0,1.0,0.99868304
[1. 2. 5. 3. 4. 4.],0,0.0,0.0010429145
[5. 2. 4. 1. 3. 3.],0,1.0,0.99860066
[1. 4. 5. 3. 2. 2.],0,1.0,0.9988374
[2. 5. 4. 1. 3. 3.],0,1.0,0.9986442
[3. 4. 5. 1. 2. 2.],0,0.0,0.00022067095
[4. 5. 2. 3. 1. 1.],0,0.0,0.0009905918
[5. 1. 4. 2. 3. 3.],0,1.0,0.9996784
[2. 1. 3. 5. 4. 4.],0,0.0,0.0011383812
[4. 5. 2. 3. 1. 1.],0,0.0,0.0009905918
[3. 5. 2. 1. 4. 4.],0,0.0,0.0004757264
[4. 1. 3. 2. 5. 5.],0,1.0,0.9989229
[4. 1. 2. 5. 3. 3.],0,1.0,0.9988838
[3. 2. 1. 5. 4. 4.],0,0.0,0.00015353618
[5. 2. 3. 1. 4. 4.],0,1.0,0.99868304
[4. 5. 3. 1. 2. 2.],0,0.0,0.0011893361
[3. 2. 5. 1. 4. 4.],0,0.0,0.00014399819
[1. 4. 2. 3. 5. 5.],0,1.0,0.9981997
[3. 1. 5. 2. 4. 4.],0,0.0,0.00090277265
[2. 3. 4. 5. 1. 1.],0,0.0,0.00016525536
[5. 2. 3. 1. 4. 4.],0,1.0,0.99868304
[4. 1. 3. 5. 2. 2.],0,1.0,0.9988794
[1. 5. 4. 2. 3. 3.],0,1.0,0.99963486
[2. 5. 1. 3. 4. 4.],0,1.0,0.9982863
[3. 1. 4. 2. 5. 5.],0,0.0,0.00090277265
[1. 4. 2. 3. 5. 5.],0,1.0,0.9981997
[2. 4. 5. 1. 3. 3.],0,0.0,0.003456776
[4. 1. 2. 3. 5. 5.],0,1.0,0.9990019
[1. 5. 4. 3. 2. 2.],0,1.0,0.9996101
[1. 4. 2. 3. 5. 5.],0,1.0,0.9981997
[4. 5. 3. 2. 1. 1.],0,0.0,0.0011893361
[3. 5. 1. 2. 4. 4.],0,0.0,0.0004757264
[1. 4. 3. 5. 2. 2.],0,1.0,0.99893564
