model_name,c_matrix,precision,recall,f1,support
XGBRegressor_model_0,"[[235   0]
 [  0 197]]",1.0,1.0,1.0,197.0
XGBRegressor_model_1,"[[237   0]
 [  0 195]]",1.0,1.0,1.0,195.0
XGBRegressor_model_2,"[[220   0]
 [  0 212]]",1.0,1.0,1.0,212.0
XGBRegressor_model_3,"[[203   0]
 [  0 229]]",1.0,1.0,1.0,229.0
XGBRegressor_model_4,"[[211   0]
 [  0 221]]",1.0,1.0,1.0,221.0
XGBRegressor_model_5,"[[193   0]
 [  0 239]]",1.0,1.0,1.0,239.0
XGBRegressor_model_6,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
XGBRegressor_model_7,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
XGBRegressor_model_8,"[[209   0]
 [  0 223]]",1.0,1.0,1.0,223.0
XGBRegressor_model_9,"[[213   0]
 [  0 219]]",1.0,1.0,1.0,219.0
LogisticRegression_model_0,"[[124  84]
 [132  92]]",0.5227272727272727,0.4107142857142857,0.46,224.0
LogisticRegression_model_1,"[[124  77]
 [127 104]]",0.574585635359116,0.45021645021645024,0.5048543689320388,231.0
LogisticRegression_model_2,"[[121  84]
 [125 102]]",0.5483870967741935,0.44933920704845814,0.4939467312348669,227.0
LogisticRegression_model_3,"[[ 77 159]
 [ 57 139]]",0.4664429530201342,0.7091836734693877,0.562753036437247,196.0
LogisticRegression_model_4,"[[136  74]
 [115 107]]",0.5911602209944752,0.481981981981982,0.5310173697270472,222.0
LogisticRegression_model_5,"[[132  69]
 [145  86]]",0.5548387096774193,0.3722943722943723,0.4455958549222798,231.0
LogisticRegression_model_6,"[[ 97 137]
 [ 94 104]]",0.4315352697095436,0.5252525252525253,0.47380410022779046,198.0
LogisticRegression_model_7,"[[ 90 135]
 [ 89 118]]",0.466403162055336,0.5700483091787439,0.5130434782608696,207.0
LogisticRegression_model_8,"[[ 92 132]
 [101 107]]",0.4476987447698745,0.5144230769230769,0.4787472035794183,208.0
LogisticRegression_model_9,"[[103 113]
 [112 104]]",0.4792626728110599,0.48148148148148145,0.48036951501154734,216.0
RidgeClassifier_model_0,"[[124  84]
 [132  92]]",0.5227272727272727,0.4107142857142857,0.46,224.0
RidgeClassifier_model_1,"[[124  77]
 [127 104]]",0.574585635359116,0.45021645021645024,0.5048543689320388,231.0
RidgeClassifier_model_2,"[[121  84]
 [125 102]]",0.5483870967741935,0.44933920704845814,0.4939467312348669,227.0
RidgeClassifier_model_3,"[[ 77 159]
 [ 57 139]]",0.4664429530201342,0.7091836734693877,0.562753036437247,196.0
RidgeClassifier_model_4,"[[137  73]
 [115 107]]",0.5944444444444444,0.481981981981982,0.5323383084577114,222.0
RidgeClassifier_model_5,"[[132  69]
 [145  86]]",0.5548387096774193,0.3722943722943723,0.4455958549222798,231.0
RidgeClassifier_model_6,"[[ 97 137]
 [ 94 104]]",0.4315352697095436,0.5252525252525253,0.47380410022779046,198.0
RidgeClassifier_model_7,"[[ 90 135]
 [ 89 118]]",0.466403162055336,0.5700483091787439,0.5130434782608696,207.0
RidgeClassifier_model_8,"[[ 92 132]
 [101 107]]",0.4476987447698745,0.5144230769230769,0.4787472035794183,208.0
RidgeClassifier_model_9,"[[103 113]
 [112 104]]",0.4792626728110599,0.48148148148148145,0.48036951501154734,216.0
SGDClassifier_model_0,"[[182  26]
 [222   2]]",0.07142857142857142,0.008928571428571428,0.015873015873015872,224.0
SGDClassifier_model_1,"[[  0 201]
 [  0 231]]",0.5347222222222222,1.0,0.6968325791855203,231.0
SGDClassifier_model_2,"[[  0 205]
 [  0 227]]",0.5254629629629629,1.0,0.6889226100151745,227.0
SGDClassifier_model_3,"[[  0 236]
 [  0 196]]",0.4537037037037037,1.0,0.6242038216560509,196.0
SGDClassifier_model_4,"[[210   0]
 [222   0]]",0.0,0.0,0.0,222.0
SGDClassifier_model_5,"[[ 72 129]
 [ 90 141]]",0.5222222222222223,0.6103896103896104,0.562874251497006,231.0
SGDClassifier_model_6,"[[234   0]
 [198   0]]",0.0,0.0,0.0,198.0
SGDClassifier_model_7,"[[  0 225]
 [  0 207]]",0.4791666666666667,1.0,0.647887323943662,207.0
SGDClassifier_model_8,"[[ 34 190]
 [ 38 170]]",0.4722222222222222,0.8173076923076923,0.5985915492957746,208.0
SGDClassifier_model_9,"[[ 15 201]
 [  0 216]]",0.5179856115107914,1.0,0.6824644549763034,216.0
PassiveAggressiveClassifier_model_0,"[[208   0]
 [224   0]]",0.0,0.0,0.0,224.0
