model_name,fpr,tpr,thresholds,roc_auc
XGBRegressor_model_0,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_1,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_2,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_3,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_4,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_5,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_6,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_7,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_8,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
XGBRegressor_model_9,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
LogisticRegression_model_0,[0.         0.40384615 1.        ],[0.         0.41071429 1.        ],[2. 1. 0.],0.5034340659340659
LogisticRegression_model_1,[0.         0.38308458 1.        ],[0.         0.45021645 1.        ],[2. 1. 0.],0.5335659365510113
LogisticRegression_model_2,[0.        0.4097561 1.       ],[0.         0.44933921 1.        ],[2. 1. 0.],0.5197915547437413
LogisticRegression_model_3,[0.         0.67372881 1.        ],[0.         0.70918367 1.        ],[2. 1. 0.],0.5177274299550328
LogisticRegression_model_4,[0.         0.35238095 1.        ],[0.         0.48198198 1.        ],[2. 1. 0.],0.5648005148005147
LogisticRegression_model_5,[0.         0.34328358 1.        ],[0.         0.37229437 1.        ],[2. 1. 0.],0.51450539510241
LogisticRegression_model_6,[0.         0.58547009 1.        ],[0.         0.52525253 1.        ],[2. 1. 0.],0.4698912198912199
LogisticRegression_model_7,[0.  0.6 1. ],[0.         0.57004831 1.        ],[2. 1. 0.],0.485024154589372
LogisticRegression_model_8,[0.         0.58928571 1.        ],[0.         0.51442308 1.        ],[2. 1. 0.],0.46256868131868134
LogisticRegression_model_9,[0.         0.52314815 1.        ],[0.         0.48148148 1.        ],[2. 1. 0.],0.47916666666666663
RidgeClassifier_model_0,[0.         0.40384615 1.        ],[0.         0.41071429 1.        ],[2. 1. 0.],0.5034340659340659
RidgeClassifier_model_1,[0.         0.38308458 1.        ],[0.         0.45021645 1.        ],[2. 1. 0.],0.5335659365510113
RidgeClassifier_model_2,[0.        0.4097561 1.       ],[0.         0.44933921 1.        ],[2. 1. 0.],0.5197915547437413
RidgeClassifier_model_3,[0.         0.67372881 1.        ],[0.         0.70918367 1.        ],[2. 1. 0.],0.5177274299550328
RidgeClassifier_model_4,[0.         0.34761905 1.        ],[0.         0.48198198 1.        ],[2. 1. 0.],0.5671814671814672
RidgeClassifier_model_5,[0.         0.34328358 1.        ],[0.         0.37229437 1.        ],[2. 1. 0.],0.51450539510241
RidgeClassifier_model_6,[0.         0.58547009 1.        ],[0.         0.52525253 1.        ],[2. 1. 0.],0.4698912198912199
RidgeClassifier_model_7,[0.  0.6 1. ],[0.         0.57004831 1.        ],[2. 1. 0.],0.485024154589372
RidgeClassifier_model_8,[0.         0.58928571 1.        ],[0.         0.51442308 1.        ],[2. 1. 0.],0.46256868131868134
RidgeClassifier_model_9,[0.         0.52314815 1.        ],[0.         0.48148148 1.        ],[2. 1. 0.],0.47916666666666663
SGDClassifier_model_0,[0.    0.125 1.   ],[0.         0.00892857 1.        ],[2. 1. 0.],0.4419642857142857
SGDClassifier_model_1,[0. 1.],[0. 1.],[2. 1.],0.5
SGDClassifier_model_2,[0. 1.],[0. 1.],[2. 1.],0.5
SGDClassifier_model_3,[0. 1.],[0. 1.],[2. 1.],0.5
SGDClassifier_model_4,[0. 1.],[0. 1.],[1. 0.],0.5
SGDClassifier_model_5,[0.         0.64179104 1.        ],[0.         0.61038961 1.        ],[2. 1. 0.],0.4842992828067455
SGDClassifier_model_6,[0. 1.],[0. 1.],[1. 0.],0.5
SGDClassifier_model_7,[0. 1.],[0. 1.],[2. 1.],0.5
SGDClassifier_model_8,[0.         0.84821429 1.        ],[0.         0.81730769 1.        ],[2. 1. 0.],0.48454670329670335
SGDClassifier_model_9,[0.         0.93055556 1.        ],[0. 1. 1.],[2. 1. 0.],0.5347222222222222
PassiveAggressiveClassifier_model_0,[0. 1.],[0. 1.],[1. 0.],0.5
PassiveAggressiveClassifier_model_1,[0.         0.52736318 1.        ],[0.         0.53246753 1.        ],[2. 1. 0.],0.5025521741939651
PassiveAggressiveClassifier_model_2,[0. 1.],[0. 1.],[1. 0.],0.5
PassiveAggressiveClassifier_model_3,[0. 1.],[0. 1.],[2. 1.],0.5
PassiveAggressiveClassifier_model_4,[0. 1.],[0. 1.],[2. 1.],0.5
PassiveAggressiveClassifier_model_5,[0. 1.],[0. 1.],[1. 0.],0.5
PassiveAggressiveClassifier_model_6,[0. 1.],[0. 1.],[2. 1.],0.5
PassiveAggressiveClassifier_model_7,[0.   0.24 1.  ],[0.         0.04347826 1.        ],[2. 1. 0.],0.4017391304347826
PassiveAggressiveClassifier_model_8,[0. 1.],[0. 1.],[2. 1.],0.5
PassiveAggressiveClassifier_model_9,[0. 1.],[0. 1.],[1. 0.],0.5
KNeighborsClassifier_model_0,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
KNeighborsClassifier_model_1,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
KNeighborsClassifier_model_2,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
KNeighborsClassifier_model_3,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
KNeighborsClassifier_model_4,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
KNeighborsClassifier_model_5,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
KNeighborsClassifier_model_6,[0. 0. 1.],[0. 1. 1.],[2. 1. 0.],1.0
