sensor_read,model_index,expected,predicted
[89. 87. 86. 89. 86. 90.],0,1.0,1.0
[89. 90. 87. 87. 86. 90.],0,1.0,1.0
[87. 89. 90. 88. 89. 86.],0,1.0,1.0
[77. 23. 15. 46. 47. 82.],0,0.0,0.0
[12. 60. 16. 26. 56.  9.],0,0.0,0.0
[ 7. 47. 20. 68. 30. 80.],0,0.0,0.0
[87. 87. 88. 85. 88. 87.],0,1.0,1.0
[66. 27. 39. 72. 41. 58.],0,0.0,0.0
[88. 86. 86. 89. 89. 85.],0,1.0,1.0
[61.  3. 28. 67. 18.  3.],0,0.0,0.0
[27. 32. 23. 51. 40.  0.],0,0.0,0.0
[49. 59. 56. 67. 45. 57.],0,0.0,0.0
[ 7. 14. 36. 79. 44. 60.],0,0.0,0.0
[88. 85. 87. 89. 90. 88.],0,1.0,1.0
[50. 24. 27. 65. 53. 73.],0,0.0,0.0
[90. 88. 87. 89. 86. 87.],0,1.0,1.0
[10. 29. 66. 51. 54. 64.],0,0.0,0.0
[68. 17. 24. 79. 29. 70.],0,0.0,0.0
[90. 87. 89. 86. 87. 87.],0,1.0,1.0
[ 3. 63. 84. 56. 45. 17.],0,0.0,0.0
[60. 14. 80. 44. 68. 38.],0,0.0,0.0
[35. 11. 80. 24. 76. 60.],0,0.0,0.0
[70.  7. 25. 13. 20.  4.],0,0.0,0.0
[88. 88. 88. 89. 86. 86.],0,1.0,1.0
[86. 88. 87. 87. 90. 88.],0,1.0,1.0
[54. 46. 23. 75. 12. 21.],0,0.0,0.0
[17. 80.  1. 58.  0. 84.],0,0.0,0.0
[86. 88. 86. 85. 87. 88.],0,1.0,1.0
[80.  8. 13. 25.  9. 67.],0,0.0,0.0
[90. 85. 88. 85. 88. 89.],0,1.0,1.0
[40. 61. 15. 57. 45. 32.],0,0.0,0.0
[86. 86. 86. 88. 88. 89.],0,1.0,1.0
[90. 88. 87. 87. 88. 87.],0,1.0,1.0
[31. 68. 67. 78.  7. 20.],0,0.0,0.0
[89. 87. 90. 89. 88. 89.],0,1.0,1.0
[81. 17. 46. 60.  4. 19.],0,0.0,0.0
[90. 85. 86. 88. 86. 85.],0,1.0,1.0
[23. 55. 41. 48. 53. 54.],0,0.0,0.0
[86. 86. 85. 87. 87. 89.],0,1.0,1.0
[87. 86. 87. 88. 86. 86.],0,1.0,1.0
[30. 29. 27. 50. 35. 11.],0,0.0,0.0
[19. 14. 33. 46. 49. 10.],0,0.0,0.0
[88. 85. 87. 89. 87. 89.],0,1.0,1.0
[88. 85. 87. 86. 89. 89.],0,1.0,1.0
[32. 23. 55. 63. 46. 18.],0,0.0,0.0
[85. 86. 88. 85. 86. 85.],0,1.0,1.0
[89. 88. 89. 90. 86. 89.],0,1.0,1.0
[77. 59. 60.  2. 83.  7.],0,0.0,0.0
[89. 90. 85. 90. 89. 87.],0,1.0,1.0
[85. 85. 88. 86. 89. 88.],0,1.0,1.0
[21.  1. 44. 17. 16.  9.],0,0.0,0.0
[77. 77. 56.  1. 69. 81.],0,0.0,0.0
[30. 10. 35. 52. 55. 67.],0,0.0,0.0
[90. 89. 90. 89. 90. 87.],0,1.0,1.0
[63. 31. 34. 23. 83. 75.],0,0.0,0.0
[87. 87. 90. 86. 87. 85.],0,1.0,1.0
[71. 52. 28.  2. 77. 26.],0,0.0,0.0
[89. 87. 85. 85. 85. 89.],0,1.0,1.0
[87. 85. 87. 86. 88. 85.],0,1.0,1.0
[16. 27. 63. 26. 55. 25.],0,0.0,0.0
[85. 88. 87. 88. 86. 88.],0,1.0,1.0
[ 7. 33. 58. 13. 38.  8.],0,0.0,0.0
[86. 88. 90. 90. 85. 86.],0,1.0,1.0
[90. 89. 86. 86. 86. 87.],0,1.0,1.0
[90. 90. 88. 86. 88. 88.],0,1.0,1.0
[17. 67. 58. 25. 66. 45.],0,0.0,0.0
[66. 33. 49. 75. 34.  3.],0,0.0,0.0
[80. 26. 22. 50. 70. 60.],0,0.0,0.0
[63. 69. 48. 58. 49. 56.],0,0.0,0.0
[45. 43. 35. 34. 84. 10.],0,0.0,0.0
