model_name,c_matrix,precision,recall,f1,support
XGBRegressor_model_0,"[[209   0]
 [  0 223]]",1.0,1.0,1.0,223.0
XGBRegressor_model_1,"[[211   0]
 [  0 221]]",1.0,1.0,1.0,221.0
XGBRegressor_model_2,"[[240   0]
 [  0 192]]",1.0,1.0,1.0,192.0
XGBRegressor_model_3,"[[221   0]
 [  0 211]]",1.0,1.0,1.0,211.0
XGBRegressor_model_4,"[[220   0]
 [  0 212]]",1.0,1.0,1.0,212.0
XGBRegressor_model_5,"[[229   0]
 [  0 203]]",1.0,1.0,1.0,203.0
XGBRegressor_model_6,"[[195   0]
 [  0 237]]",1.0,1.0,1.0,237.0
XGBRegressor_model_7,"[[232   0]
 [  0 200]]",1.0,1.0,1.0,200.0
XGBRegressor_model_8,"[[193   0]
 [  0 239]]",1.0,1.0,1.0,239.0
XGBRegressor_model_9,"[[210   0]
 [  0 222]]",1.0,1.0,1.0,222.0
LogisticRegression_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
LogisticRegression_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LogisticRegression_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
LogisticRegression_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
LogisticRegression_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LogisticRegression_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
LogisticRegression_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LogisticRegression_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
LogisticRegression_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LogisticRegression_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
RidgeClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
RidgeClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
RidgeClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
RidgeClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
RidgeClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
RidgeClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
RidgeClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
RidgeClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
RidgeClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
RidgeClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
SGDClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
SGDClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
SGDClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
SGDClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
SGDClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
SGDClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
SGDClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
SGDClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
SGDClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
SGDClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
PassiveAggressiveClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
PassiveAggressiveClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
PassiveAggressiveClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
PassiveAggressiveClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
PassiveAggressiveClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
PassiveAggressiveClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
PassiveAggressiveClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
PassiveAggressiveClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
PassiveAggressiveClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
PassiveAggressiveClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
KNeighborsClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
KNeighborsClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
KNeighborsClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
KNeighborsClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
KNeighborsClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
KNeighborsClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
KNeighborsClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
KNeighborsClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
KNeighborsClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
KNeighborsClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
DecisionTreeClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
DecisionTreeClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
DecisionTreeClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
DecisionTreeClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
DecisionTreeClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
DecisionTreeClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
DecisionTreeClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
DecisionTreeClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
DecisionTreeClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
DecisionTreeClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
ExtraTreeClassifier_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
ExtraTreeClassifier_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
ExtraTreeClassifier_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
ExtraTreeClassifier_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
ExtraTreeClassifier_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
ExtraTreeClassifier_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
ExtraTreeClassifier_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
ExtraTreeClassifier_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
ExtraTreeClassifier_model_8,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
ExtraTreeClassifier_model_9,"[[223   0]
 [  0 209]]",1.0,1.0,1.0,209.0
LinearSVC_model_0,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
LinearSVC_model_1,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LinearSVC_model_2,"[[226   0]
 [  0 206]]",1.0,1.0,1.0,206.0
LinearSVC_model_3,"[[197   0]
 [  0 235]]",1.0,1.0,1.0,235.0
LinearSVC_model_4,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LinearSVC_model_5,"[[206   0]
 [  0 226]]",1.0,1.0,1.0,226.0
LinearSVC_model_6,"[[219   0]
 [  0 213]]",1.0,1.0,1.0,213.0
LinearSVC_model_7,"[[216   0]
 [  0 216]]",1.0,1.0,1.0,216.0
